year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party,writein,candidatevotes,totalvotes,version
1982,Alabama,AL,1,63,41,US House,3,gen,FALSE,"Richard David Landers, Jr.",libertarian,FALSE,3920,104784,20171005
2000,Alabama,AL,1,63,41,US House,7,gen,FALSE,Ed Martin,republican,FALSE,46134,198633,20171005
1976,Alabama,AL,1,63,41,US House,3,gen,FALSE,Bill Nichols,democrat,FALSE,106935,108048,20171005
1988,Alabama,AL,1,63,41,US House,3,gen,FALSE,Bill Nichols,democrat,FALSE,117514,122310,20171005
1982,Alabama,AL,1,63,41,US House,2,gen,FALSE,Billy Joe Camp,democrat,FALSE,81904,165194,20171005
1982,Alabama,AL,1,63,41,US House,4,gen,FALSE,Tom Bevill,democrat,FALSE,118595,118607,20171005
1976,Alabama,AL,1,63,41,US House,2,gen,FALSE,J. Carole Keahey,democrat,FALSE,66288,156362,20171005
1992,Alabama,AL,1,63,41,US House,2,gen,FALSE,,,TRUE,13,228160,20171005
1984,Alabama,AL,1,63,41,US House,6,gen,FALSE,Ben Erdreich,democrat,FALSE,130973,219710,20171005
1984,Alabama,AL,1,63,41,US House,6,gen,FALSE,Steve Smith,libertarian,FALSE,1043,219710,20171005
1994,Alabama,AL,1,63,41,US House,6,gen,FALSE,Larry Fortenberry,democrat,FALSE,41030,196222,20171005
1998,Alabama,AL,1,63,41,US House,1,gen,FALSE,,,TRUE,692,113564,20171005
2002,Alabama,AL,1,63,41,US House,7,gen,FALSE,,,TRUE,474,166309,20171005
1978,Alabama,AL,1,63,41,US House,7,gen,FALSE,Richard C. Shelby,democrat,FALSE,77742,82868,20171005
1992,Alabama,AL,1,63,41,US House,1,gen,FALSE,William A. Brewer,democrat,FALSE,78742,214204,20171005
1976,Alabama,AL,1,63,41,US House,1,gen,FALSE,Jack Edwards,republican,FALSE,98257,157170,20171005
1980,Alabama,AL,1,63,41,US House,5,gen,FALSE,Ronnie Flippo,democrat,FALSE,117626,125356,20171005
1978,Alabama,AL,1,63,41,US House,7,gen,FALSE,Jim Scruggs,republican,FALSE,1841,82868,20171005
1980,Alabama,AL,1,63,41,US House,2,gen,FALSE,Adam Hand,libertarian,FALSE,4103,172962,20171005
